protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q6UXK5	0.365011150680741	0.062496492008962	5.84050622598782	1.38750337073483e-06	0.669865257304379	0.10247852047242	6.5366405976232	1.7455860602963e-07	0.556874334044598	PLA	670
Q6WN34	-0.0927308334193707	0.0722922936306221	-1.2827208650092	0.208265927044987	0.892012374483295	0.0944633477285621	9.44294687762356	4.95750728638874e-11	0.723957065763542	PLA	399
Q6XZF7	0.395676794314661	0.169343445544179	2.33653444952161	0.02549395672015	0.907136068058607	0.0863118626469974	10.5099813656978	3.21428730328331e-12	0.764640255761346	PLA	321
Q6YHK3	0.192321872226304	0.0612971057793356	3.13753593715578	0.00350872730771382	0.833098396254165	0.158082058410485	5.27003762875415	7.66274020164779e-06	0.449600363479225	PLA	828
Q6ZMC9	-0.0591045277448541	0.0791734981153166	-0.74651908974349	0.46048504068009	0.877188001304547	0.0818858264495805	10.7123300739311	1.94546783014621e-12	0.771434741711517	PLA	302
Q6ZMH5	-0.0348532548912511	0.0550328116542798	-0.633317721620364	0.530763503164478	0.953343772212773	0.0878187302639098	10.8558136669457	1.36705905121719e-12	0.776092899340583	PLA	289
Q6ZMJ2	0.241291829555752	0.092230437150965	2.616184385647	0.0131686618041197	0.396100802595401	0.1310642703336	3.02218752362637	0.00474459522249756	0.211751714152352	PLA	1113
Q6ZMJ4	0.272513009449322	0.101930242607645	2.6735245838499	0.0114486978438122	0.101156037563915	0.097875209659953	1.0335205198064	0.308656115809592	0.0304596683364847	PLA	1243
Q6ZUJ8	1.10287959472846	0.146484203041481	7.52900020499926	9.66135480480982e-09	0.91567602760846	0.0827017488761264	11.0720273761077	8.07305540776428e-13	0.782872178621463	PLA	267
Q76LX8	-0.816849472130917	0.0996747190092032	-8.19515199290901	1.46552293995581e-09	0.536988212647542	0.11801881644372	4.5500220119867	6.53070943836707e-05	0.378458470832455	PLA	916
Q76M96	-0.222539660655199	0.138511606124906	-1.60664991823514	0.117380027963257	0.689967636401206	0.105392344532637	6.54665800880391	1.69462317728639e-07	0.557629959272469	PLA	669
Q7KYR7	-0.0641321080802096	0.10088895770766	-0.635670241197669	0.529247088051472	0.578570178610501	0.174250552943144	3.32033482154448	0.00215479411542903	0.244857647049104	PLA	1074
Q7L5N7	0.0517021699827364	0.0743114473181628	0.695749737740604	0.49131425606933	0.60039025853166	0.190874588243944	3.14546982945861	0.0034360575296827	0.225406316470837	PLA	1095
Q7L5Y9	-0.192195793246675	0.109079254851431	-1.76198300500357	0.0870620847695528	0.410876375809571	0.0895647130107591	4.5874805154594	5.84751324955702e-05	0.382323300749343	PLA	910
Q7L8A9	-0.28014126588233	0.164940476958692	-1.69843855824722	0.0985600814801784	0.744270727459569	0.0582516502167711	12.7768179045559	1.55443583726496e-14	0.827627355853407	PLA	155
Q7LG56	-0.227154184631872	0.214141751671844	-1.06076551096849	0.296273896312177	0.724186388955294	0.0679560405433765	10.656688988421	2.23232143047888e-12	0.769593092218905	PLA	308
Q7Z434	0.0842600216306586	0.275462610305759	0.305885512146753	0.761556966142415	0.801452337377465	0.0761487142887122	10.5248308505751	3.09744803941156e-12	0.765148061312034	PLA	319
Q7Z4W1	-1.10260756454486	0.127729534842868	-8.63236185664718	4.37434109677006e-10	0.974554420511108	0.074988098026907	12.9961213333004	9.5898911498832e-15	0.832429082639333	PLA	137
Q7Z5A7	0.297863393151808	0.138408847485033	2.15205457284093	0.0385811361527647	0.493310778932984	0.145945945107206	3.38009239359558	0.00183306910263994	0.251513888931351	PLA	1066
Q7Z5L0	0.555842324492291	0.0881795097506814	6.30353158079329	3.48495000711935e-07	0.819287435791065	0.101712353863304	8.05494519271613	2.1703164507514e-09	0.656156316069956	PLA	516
Q7Z5R6	1.09534461705438	0.0901686405970714	12.1477335113551	6.40898086624604e-14	0.658167193157506	0.0948283806867591	6.94061406923724	5.31671283646972e-08	0.586234376253083	PLA	629
Q7Z6M1	0.24222728411839	0.131385996205472	1.84363091283774	0.0739674665171004	0.613396272376527	0.126001133529481	4.86818058849455	2.54426294687962e-05	0.410736882590756	PLA	879
Q7Z6M3	-0.216482782765699	0.130644566460254	-1.65703625210896	0.106713003990747	0.579720435793013	0.0928240836869517	6.2453666415724	4.14321287680038e-07	0.534275950967661	PLA	706
Q7Z739	0.800854948640438	0.214054853181013	3.74135384804008	0.000675019068012074	0.792923973004471	0.0933116764919696	8.49758575576241	6.33401211125298e-10	0.679876360496762	PLA	471
Q7Z7D3	0.179709922405491	0.0488651146985065	3.67767319312123	0.000806981843074153	0.0716603647863185	0.0852364881042328	0.840724041782288	0.406376424364799	0.0203653626944065	PLA	1247
Q86SF2	0.359218650320397	0.112850335985143	3.18314205433725	0.00311009855025657	0.142428021680923	0.234032535739456	0.608582141072408	0.546846160337056	0.0107759153737226	PLA	1251
Q86SJ2	-0.0149414541378043	0.081252833135288	-0.18388840808697	0.855193344218006	0.977099080669232	0.164004432358568	5.95776020573012	9.77088586279025e-07	0.510755512458646	PLA	750
Q86SJ6	0.0413404903212197	0.0571731208449648	0.723075629076151	0.47457860678082	0.721578307239073	0.0786435013641181	9.17530749169187	1.00791258197478e-10	0.712318523125393	PLA	423
Q86SR1	0.502765046031332	0.0863012075219304	5.82570117461649	1.45036175363646e-06	0.447479224343662	0.132942487426362	3.36596097309767	0.00190470970195169	0.249939773568042	PLA	1067
Q86T13	0.241715349076938	0.114085976266804	2.11871219396552	0.0415006844202544	0.63104973923106	0.171245952449431	3.68504907826893	0.000790502935924716	0.28540783240159	PLA	1036
Q86U17	0.141176502184133	0.173744440710688	0.812552629636155	0.422127815653194	0.707455531486535	0.13239510861801	5.3435171349699	6.14922082863719e-06	0.456462444984481	PLA	820
Q86VB7	-0.0634497811146027	0.0662392382301204	-0.95788814620985	0.344881414389786	0.641854020893238	0.105239906018453	6.09896041507953	6.40927466222031e-07	0.52245392261973	PLA	735
Q86VW0	-0.551959269031441	0.202226323402945	-2.72941355874645	0.00997477854333978	0.69814892098709	0.0699969466926221	9.9739910663943	1.24695654667206e-11	0.74528114172266	PLA	356
